Total number of todos,Transaction Time,Current Time MS
50,1.8,220
100,1.66,397
150,1.44,543
200,1.28,665
250,1.1,775
300,1.34,895
350,1.34,1029
400,1.2,1153
450,1.1,1257
500,1.26,1381
550,1.4,1499
600,1.14,1610
650,1.1,1720
700,1.2,1841
750,1.46,1979
800,0.86,2066
850,1.12,2169
900,1.14,2282
950,1.1,2379
1000,0.92,2480
1050,0.96,2572
1100,0.82,2656
1150,1.12,2762
1200,1.02,2861
1250,1.14,2968
1300,1.06,3064
1350,1.12,3169
1400,1.26,3282
1450,1.48,3412
1500,1.1,3514
1550,1.22,3623
1600,1.2,3727
1650,1.28,3842
1700,1.22,3958
1750,1.24,4075
1800,1.54,4231
1850,0.92,4334
1900,0.8,4415
1950,0.84,4488
2000,0.76,4558
2050,0.8,4632
2100,0.9,4705
2150,0.88,4789
2200,1.0,4887
2250,0.88,4964
2300,0.68,5032
2350,0.82,5108
2400,0.74,5175
2450,0.74,5249
2500,0.82,5323
2550,0.96,5408
2600,1.04,5504
2650,1.0,5601
2700,1.06,5694
2750,1.06,5791
2800,1.1,5892
2850,1.0,5986
2900,0.9,6071
2950,0.98,6164
3000,1.12,6269
3050,1.1,6373
3100,1.42,6502
3150,1.74,6649
3200,1.84,6812
3250,2.38,7025
3300,1.46,7148
3350,1.44,7262
3400,1.04,7347
3450,1.1,7436
3500,1.1,7522
3550,1.08,7609
3600,0.98,7702
3650,1.14,7799
3700,1.16,7896
3750,1.44,8016
3800,1.54,8142
3850,1.28,8253
3900,1.3,8367
3950,1.26,8478
4000,1.32,8590
4050,1.26,8691
4100,1.64,8833
4150,1.64,8969
4200,1.2,9072
4250,1.54,9194
4300,1.52,9315
4350,1.26,9426
4400,1.64,9569
4450,1.58,9704
4500,1.46,9831
4550,1.38,9951
4600,1.58,10089
4650,1.78,10243
4700,1.64,10368
4750,1.36,10461
4800,1.32,10565
4850,1.18,10656
4900,1.34,10770
4950,1.52,10887
5000,1.26,10984
5050,1.18,11073
5100,1.06,11157
5150,1.08,11243
5200,1.36,11345
5250,1.28,11441
5300,1.28,11544
5350,1.34,11652
5400,1.68,11784
5450,1.34,11888
5500,1.4,11991
5550,1.38,12106
5600,1.32,12212
5650,1.5,12335
5700,1.48,12452
5750,1.5,12570
5800,1.32,12686
5850,1.68,12819
5900,1.86,12967
5950,1.66,13102
6000,1.8,13251
6050,1.7,13395
6100,2.94,13634
6150,1.58,13748
6200,1.44,13855
6250,1.4,13955
6300,1.34,14055
6350,1.32,14147
6400,1.48,14252
6450,1.62,14367
6500,1.38,14471
6550,1.42,14575
6600,1.4,14679
6650,1.52,14789
6700,1.52,14903
6750,1.42,15012
6800,1.26,15120
6850,1.46,15236
6900,1.6,15357
6950,1.74,15490
7000,1.62,15613
7050,1.8,15743
7100,1.58,15864
7150,1.8,15993
7200,1.74,16122
7250,1.7,16256
7300,1.88,16399
7350,1.92,16547
7400,1.86,16688
7450,1.86,16832
7500,1.92,16978
7550,2.5,17168
7600,1.54,17270
7650,1.36,17359
7700,1.52,17461
7750,1.66,17572
7800,1.56,17672
7850,1.54,17775
7900,1.54,17880
7950,1.76,18000
8000,1.42,18108
8050,1.74,18223
8100,1.52,18338
8150,1.6,18452
8200,1.68,18573
8250,2.0,18706
8300,1.82,18839
8350,1.86,18963
8400,1.78,19088
8450,1.86,19225
8500,1.76,19357
8550,1.9,19491
8600,2.04,19640
8650,2.1,19786
8700,2.06,19932
8750,2.02,20075
8800,2.14,20229
8850,2.02,20378
8900,2.12,20534
8950,2.08,20687
9000,2.86,20896
9050,1.74,21013
9100,2.04,21148
9150,1.8,21267
9200,1.84,21375
9250,1.8,21492
9300,1.86,21621
9350,2.28,21775
9400,2.2,21924
9450,1.94,22054
9500,1.94,22188
9550,1.96,22325
9600,1.78,22453
9650,1.84,22584
9700,1.9,22728
9750,1.98,22869
9800,2.32,23029
9850,2.12,23174
9900,2.18,23326
9950,2.28,23489
